EmployeeID,Name,Department,JobRole,MonthlyIncome,OverTime,Attrition_Probability,Attrition_Risk_Level,EngagementScore,Engagement_Category,CurrentSkills,MissingSkills,SkillGapCount,UpskillingRecommendation
21,Employee #21,Research & Development,Research Scientist,3298.0,Yes,0.0553,LOW,58.36,MEDIUM,"R, Lab Equipment, Python, Statistics","Data Analysis, Machine Learning",2,Professional Skill Development: Data Analysis; Applied Machine Learning & MLOps Specialization
22,Employee #22,Research & Development,Laboratory Technician,2935.0,Yes,0.1448,LOW,59.38,MEDIUM,"Sample Preparation, Quality Control, Lab Safety","Data Entry, Excel",2,Professional Skill Development: Data Entry; Professional Skill Development: Excel
23,Employee #23,Sales,Manager,15427.0,No,0.0036,LOW,82.2,HIGH,"Project Management, Strategic Planning, Budgeting","Leadership, Performance Management",2,Professional Skill Development: Leadership; Professional Skill Development: Performance Management
24,Employee #24,Research & Development,Research Scientist,3944.0,Yes,0.1662,LOW,75.86,HIGH,"Data Analysis, Lab Equipment, Statistics","Python, R, Machine Learning",3,Advanced Python Programming & Data Science Masterclass; Statistical Computing & Data Visualization in R
26,Employee #26,Research & Development,Manufacturing Director,4011.0,No,0.0032,LOW,82.24,HIGH,"Operations Management, Budgeting","Supply Chain, ERP, Lean Six Sigma",3,Global Supply Chain Operations & Logistics Architecture; Professional Skill Development: ERP
27,Employee #27,Sales,Sales Representative,3407.0,No,0.5147,HIGH,76.91,HIGH,"CRM, Communication","Cold Calling, Salesforce, Customer Service",3,Professional Skill Development: Cold Calling; Salesforce CRM Administrator & Cloud Management
28,Employee #28,Research & Development,Research Director,11994.0,No,0.0117,LOW,81.97,HIGH,"Leadership, Python, Data Analysis","R&D Strategy, Grant Writing",2,Professional Skill Development: R&D Strategy; Research Grant Writing & Innovation Funding Workshop
30,Employee #30,Research & Development,Research Scientist,1232.0,No,0.1251,LOW,56.57,MEDIUM,"Lab Equipment, Python, Data Analysis, R","Statistics, Machine Learning",2,Professional Skill Development: Statistics; Applied Machine Learning & MLOps Specialization
31,Employee #31,Research & Development,Research Scientist,2960.0,No,0.1203,LOW,82.99,HIGH,"R, Python, Data Analysis, Lab Equipment","Statistics, Machine Learning",2,Professional Skill Development: Statistics; Applied Machine Learning & MLOps Specialization
32,Employee #32,Research & Development,Manager,19094.0,No,0.0008,LOW,84.44,HIGH,"Leadership, Performance Management, Budgeting","Project Management, Strategic Planning",2,Professional Skill Development: Project Management; Executive Leadership & Strategic Workforce Planning
33,Employee #33,Research & Development,Research Scientist,3919.0,Yes,0.8323,HIGH,85.35,HIGH,"R, Statistics, Lab Equipment, Machine Learning","Python, Data Analysis",2,Advanced Python Programming & Data Science Masterclass; Professional Skill Development: Data Analysis
35,Employee #35,Sales,Sales Executive,6825.0,No,0.0288,LOW,57.89,MEDIUM,"Negotiation, Lead Generation, Salesforce","CRM Software, Communication, Excel",3,Professional Skill Development: CRM Software; Professional Skill Development: Communication
36,Employee #36,Research & Development,Healthcare Representative,10248.0,No,0.0017,LOW,92.01,HIGH,"Medical Records, Patient Care","Customer Service, EMR Software, Communication",3,Professional Skill Development: Customer Service; Healthcare Electronic Medical Records Administration
38,Employee #38,Sales,Manager,18947.0,No,0.0763,LOW,86.93,HIGH,"Leadership, Budgeting","Project Management, Strategic Planning, Performance Management",3,Professional Skill Development: Project Management; Executive Leadership & Strategic Workforce Planning
39,Employee #39,Research & Development,Laboratory Technician,2496.0,No,0.1151,LOW,69.94,MEDIUM,"Data Entry, Quality Control, Lab Safety, Sample Preparation",Excel,1,Professional Skill Development: Excel
40,Employee #40,Research & Development,Healthcare Representative,6465.0,Yes,0.0051,LOW,89.82,HIGH,"Patient Care, Customer Service, Medical Records, Communication",EMR Software,1,Healthcare Electronic Medical Records Administration
41,Employee #41,Research & Development,Laboratory Technician,2206.0,No,0.1089,LOW,65.27,MEDIUM,"Excel, Data Entry, Lab Safety","Sample Preparation, Quality Control",2,Professional Skill Development: Sample Preparation; Six Sigma Quality Assurance & Process Improvement
42,Employee #42,Sales,Sales Representative,2086.0,No,0.0167,LOW,65.99,MEDIUM,"Communication, Salesforce, Customer Service, CRM",Cold Calling,1,Professional Skill Development: Cold Calling
45,Employee #45,Research & Development,Research Scientist,2293.0,Yes,0.3056,MEDIUM,63.85,MEDIUM,"Lab Equipment, Data Analysis, R","Python, Statistics, Machine Learning",3,Advanced Python Programming & Data Science Masterclass; Professional Skill Development: Statistics
46,Employee #46,Research & Development,Research Scientist,2645.0,No,0.0008,LOW,60.47,MEDIUM,"R, Data Analysis, Statistics, Lab Equipment","Python, Machine Learning",2,Advanced Python Programming & Data Science Masterclass; Applied Machine Learning & MLOps Specialization
47,Employee #47,Sales,Sales Representative,2683.0,Yes,0.6071,HIGH,90.86,HIGH,"CRM, Communication, Cold Calling","Salesforce, Customer Service",2,Salesforce CRM Administrator & Cloud Management; Professional Skill Development: Customer Service
49,Employee #49,Sales,Sales Representative,2014.0,No,0.0512,LOW,86.05,HIGH,"Customer Service, CRM, Communication","Cold Calling, Salesforce",2,Professional Skill Development: Cold Calling; Salesforce CRM Administrator & Cloud Management
51,Employee #51,Research & Development,Research Scientist,3419.0,Yes,0.4672,MEDIUM,71.04,MEDIUM,"Data Analysis, Statistics, R, Lab Equipment","Python, Machine Learning",2,Advanced Python Programming & Data Science Masterclass; Applied Machine Learning & MLOps Specialization
52,Employee #52,Sales,Sales Executive,5376.0,No,0.0412,LOW,68.23,MEDIUM,"Lead Generation, CRM Software, Negotiation, Excel","Salesforce, Communication",2,Salesforce CRM Administrator & Cloud Management; Professional Skill Development: Communication
53,Employee #53,Research & Development,Laboratory Technician,1951.0,No,0.0314,LOW,60.11,MEDIUM,"Excel, Data Entry, Sample Preparation","Lab Safety, Quality Control",2,ISO Certified Laboratory Safety & Bio-hazard Compliance; Six Sigma Quality Assurance & Process Improvement
54,Employee #54,Research & Development,Laboratory Technician,2341.0,No,0.0368,LOW,57.93,MEDIUM,"Lab Safety, Quality Control, Excel","Sample Preparation, Data Entry",2,Professional Skill Development: Sample Preparation; Professional Skill Development: Data Entry
55,Employee #55,Research & Development,Laboratory Technician,2293.0,No,0.8965,HIGH,78.32,HIGH,"Sample Preparation, Lab Safety, Excel","Quality Control, Data Entry",2,Six Sigma Quality Assurance & Process Improvement; Professional Skill Development: Data Entry
56,Employee #56,Sales,Sales Executive,8726.0,No,0.0709,LOW,78.46,HIGH,"CRM Software, Negotiation, Excel, Salesforce","Communication, Lead Generation",2,Professional Skill Development: Communication; B2B Digital Marketing & Modern Sales Pipelines
57,Employee #57,Research & Development,Laboratory Technician,4011.0,No,0.0389,LOW,93.15,HIGH,"Data Entry, Sample Preparation, Quality Control","Lab Safety, Excel",2,ISO Certified Laboratory Safety & Bio-hazard Compliance; Professional Skill Development: Excel
58,Employee #58,Research & Development,Research Director,19545.0,No,0.033,LOW,56.9,MEDIUM,"R&D Strategy, Grant Writing, Leadership","Data Analysis, Python",2,Professional Skill Development: Data Analysis; Advanced Python Programming & Data Science Masterclass
60,Employee #60,Sales,Sales Executive,4568.0,No,0.1342,LOW,87.04,HIGH,"CRM Software, Salesforce, Lead Generation","Negotiation, Communication, Excel",3,Professional Skill Development: Negotiation; Professional Skill Development: Communication
61,Employee #61,Research & Development,Research Scientist,3022.0,No,0.3132,MEDIUM,87.93,HIGH,"Lab Equipment, R, Machine Learning, Statistics","Python, Data Analysis",2,Advanced Python Programming & Data Science Masterclass; Professional Skill Development: Data Analysis
62,Employee #62,Sales,Sales Executive,5772.0,Yes,0.3009,MEDIUM,57.23,MEDIUM,"CRM Software, Lead Generation, Communication","Salesforce, Negotiation, Excel",3,Salesforce CRM Administrator & Cloud Management; Professional Skill Development: Negotiation
63,Employee #63,Research & Development,Laboratory Technician,2269.0,No,0.0208,LOW,59.96,MEDIUM,"Quality Control, Sample Preparation","Lab Safety, Data Entry, Excel",3,ISO Certified Laboratory Safety & Bio-hazard Compliance; Professional Skill Development: Data Entry
64,Employee #64,Research & Development,Laboratory Technician,5381.0,Yes,0.7301,HIGH,59.91,MEDIUM,"Quality Control, Sample Preparation, Excel, Lab Safety",Data Entry,1,Professional Skill Development: Data Entry
65,Employee #65,Research & Development,Laboratory Technician,3441.0,Yes,0.6641,HIGH,71.41,MEDIUM,"Sample Preparation, Data Entry, Quality Control","Lab Safety, Excel",2,ISO Certified Laboratory Safety & Bio-hazard Compliance; Professional Skill Development: Excel
68,Employee #68,Sales,Sales Executive,5454.0,Yes,0.3493,MEDIUM,64.77,MEDIUM,"CRM Software, Excel, Salesforce, Lead Generation","Negotiation, Communication",2,Professional Skill Development: Negotiation; Professional Skill Development: Communication
70,Employee #70,Research & Development,Healthcare Representative,9884.0,Yes,0.0948,LOW,83.28,HIGH,"Communication, Medical Records, Patient Care, Customer Service",EMR Software,1,Healthcare Electronic Medical Records Administration
72,Employee #72,Sales,Sales Executive,4157.0,Yes,0.7915,HIGH,63.4,MEDIUM,"Lead Generation, CRM Software, Salesforce, Excel","Negotiation, Communication",2,Professional Skill Development: Negotiation; Professional Skill Development: Communication
73,Employee #73,Research & Development,Research Director,13458.0,Yes,0.1338,LOW,78.19,HIGH,"R&D Strategy, Data Analysis, Python","Grant Writing, Leadership",2,Research Grant Writing & Innovation Funding Workshop; Professional Skill Development: Leadership
74,Employee #74,Sales,Sales Executive,9069.0,No,0.1254,LOW,59.74,MEDIUM,"Excel, Salesforce, Communication, CRM Software","Negotiation, Lead Generation",2,Professional Skill Development: Negotiation; B2B Digital Marketing & Modern Sales Pipelines
75,Employee #75,Research & Development,Laboratory Technician,4014.0,Yes,0.5059,HIGH,81.71,HIGH,"Sample Preparation, Lab Safety","Quality Control, Data Entry, Excel",3,Six Sigma Quality Assurance & Process Improvement; Professional Skill Development: Data Entry
76,Employee #76,Research & Development,Laboratory Technician,5915.0,No,0.0139,LOW,72.9,MEDIUM,"Sample Preparation, Excel, Quality Control","Lab Safety, Data Entry",2,ISO Certified Laboratory Safety & Bio-hazard Compliance; Professional Skill Development: Data Entry
77,Employee #77,Research & Development,Manufacturing Director,5993.0,No,0.0065,LOW,90.4,HIGH,"Supply Chain, Budgeting, Operations Management","ERP, Lean Six Sigma",2,Professional Skill Development: ERP; Lean Six Sigma Green Belt Enterprise Certification
78,Employee #78,Research & Development,Manufacturing Director,6162.0,Yes,0.0925,LOW,89.27,HIGH,"ERP, Budgeting, Lean Six Sigma","Supply Chain, Operations Management",2,Global Supply Chain Operations & Logistics Architecture; Professional Skill Development: Operations Management
79,Employee #79,Research & Development,Laboratory Technician,2406.0,No,0.2944,MEDIUM,64.12,MEDIUM,"Quality Control, Sample Preparation, Data Entry","Lab Safety, Excel",2,ISO Certified Laboratory Safety & Bio-hazard Compliance; Professional Skill Development: Excel
80,Employee #80,Research & Development,Research Director,18740.0,Yes,0.1506,LOW,64.73,MEDIUM,"Leadership, Grant Writing","R&D Strategy, Data Analysis, Python",3,Professional Skill Development: R&D Strategy; Professional Skill Development: Data Analysis
81,Employee #81,Sales,Sales Executive,7637.0,No,0.0941,LOW,61.07,MEDIUM,"Negotiation, Excel, CRM Software","Salesforce, Communication, Lead Generation",3,Salesforce CRM Administrator & Cloud Management; Professional Skill Development: Communication
83,Employee #83,Research & Development,Healthcare Representative,10096.0,No,0.0071,LOW,86.03,HIGH,"Medical Records, Customer Service, EMR Software","Patient Care, Communication",2,Professional Skill Development: Patient Care; Professional Skill Development: Communication
84,Employee #84,Research & Development,Manager,14756.0,Yes,0.006,LOW,56.24,MEDIUM,"Performance Management, Project Management, Leadership","Strategic Planning, Budgeting",2,Executive Leadership & Strategic Workforce Planning; Professional Skill Development: Budgeting
85,Employee #85,Research & Development,Manufacturing Director,6499.0,No,0.1534,LOW,91.97,HIGH,"Operations Management, Supply Chain, ERP","Budgeting, Lean Six Sigma",2,Professional Skill Development: Budgeting; Lean Six Sigma Green Belt Enterprise Certification
86,Employee #86,Research & Development,Research Scientist,9724.0,No,0.0079,LOW,73.52,MEDIUM,"Machine Learning, R, Statistics","Python, Data Analysis, Lab Equipment",3,Advanced Python Programming & Data Science Masterclass; Professional Skill Development: Data Analysis
88,Employee #88,Research & Development,Research Scientist,2194.0,No,0.1581,LOW,80.6,HIGH,"Python, Machine Learning, Statistics, R","Data Analysis, Lab Equipment",2,Professional Skill Development: Data Analysis; Professional Skill Development: Lab Equipment
90,Employee #90,Research & Development,Research Scientist,3388.0,Yes,0.4058,MEDIUM,83.86,HIGH,"Lab Equipment, Python, R","Data Analysis, Statistics, Machine Learning",3,Professional Skill Development: Data Analysis; Professional Skill Development: Statistics
91,Employee #91,Sales,Sales Executive,5473.0,No,0.1802,LOW,70.43,MEDIUM,"Communication, Excel, Lead Generation, Salesforce","CRM Software, Negotiation",2,Professional Skill Development: CRM Software; Professional Skill Development: Negotiation
94,Employee #94,Research & Development,Research Scientist,2703.0,No,0.0053,LOW,69.94,MEDIUM,"Machine Learning, R, Python","Data Analysis, Statistics, Lab Equipment",3,Professional Skill Development: Data Analysis; Professional Skill Development: Statistics
95,Employee #95,Research & Development,Research Scientist,2501.0,No,0.0494,LOW,85.15,HIGH,"Statistics, Lab Equipment, Machine Learning, R","Python, Data Analysis",2,Advanced Python Programming & Data Science Masterclass; Professional Skill Development: Data Analysis
96,Employee #96,Research & Development,Research Scientist,6220.0,No,0.0064,LOW,93.54,HIGH,"Data Analysis, Python, Machine Learning, Statistics","R, Lab Equipment",2,Statistical Computing & Data Visualization in R; Professional Skill Development: Lab Equipment
97,Employee #97,Research & Development,Laboratory Technician,3038.0,No,0.1208,LOW,92.05,HIGH,"Excel, Lab Safety, Quality Control","Sample Preparation, Data Entry",2,Professional Skill Development: Sample Preparation; Professional Skill Development: Data Entry
98,Employee #98,Research & Development,Manufacturing Director,4424.0,No,0.0048,LOW,83.4,HIGH,"Lean Six Sigma, Budgeting","Supply Chain, Operations Management, ERP",3,Global Supply Chain Operations & Logistics Architecture; Professional Skill Development: Operations Management
100,Employee #100,Sales,Sales Executive,4312.0,No,0.052,LOW,89.54,HIGH,"Negotiation, Communication, CRM Software","Salesforce, Lead Generation, Excel",3,Salesforce CRM Administrator & Cloud Management; B2B Digital Marketing & Modern Sales Pipelines
101,Employee #101,Research & Development,Research Director,13245.0,Yes,0.0112,LOW,84.83,HIGH,"Grant Writing, Leadership","R&D Strategy, Data Analysis, Python",3,Professional Skill Development: R&D Strategy; Professional Skill Development: Data Analysis
102,Employee #102,Research & Development,Research Director,13664.0,No,0.043,LOW,68.02,MEDIUM,"Grant Writing, Data Analysis, R&D Strategy","Python, Leadership",2,Advanced Python Programming & Data Science Masterclass; Professional Skill Development: Leadership
103,Employee #103,Human Resources,Human Resources,5021.0,Yes,0.223,LOW,77.04,HIGH,"Workday, HRIS, Employee Relations","Recruiting, Payroll, Compliance",3,Professional Skill Development: Recruiting; Professional Skill Development: Payroll
104,Employee #104,Research & Development,Laboratory Technician,5126.0,Yes,0.1836,LOW,88.41,HIGH,"Quality Control, Sample Preparation, Lab Safety","Data Entry, Excel",2,Professional Skill Development: Data Entry; Professional Skill Development: Excel
105,Employee #105,Research & Development,Research Scientist,2859.0,No,0.0439,LOW,92.15,HIGH,"Data Analysis, R, Machine Learning, Python","Statistics, Lab Equipment",2,Professional Skill Development: Statistics; Professional Skill Development: Lab Equipment
106,Employee #106,Sales,Sales Executive,10239.0,No,0.0048,LOW,76.62,HIGH,"Negotiation, Communication, CRM Software","Salesforce, Lead Generation, Excel",3,Salesforce CRM Administrator & Cloud Management; B2B Digital Marketing & Modern Sales Pipelines
107,Employee #107,Research & Development,Research Scientist,5329.0,Yes,0.0081,LOW,65.53,MEDIUM,"Statistics, Data Analysis, Machine Learning, Lab Equipment","Python, R",2,Advanced Python Programming & Data Science Masterclass; Statistical Computing & Data Visualization in R
110,Employee #110,Research & Development,Manufacturing Director,4325.0,No,0.0332,LOW,88.82,HIGH,"Supply Chain, ERP, Lean Six Sigma, Budgeting",Operations Management,1,Professional Skill Development: Operations Management
112,Employee #112,Research & Development,Manufacturing Director,7260.0,No,0.0065,LOW,70.49,MEDIUM,"ERP, Operations Management, Budgeting","Supply Chain, Lean Six Sigma",2,Global Supply Chain Operations & Logistics Architecture; Lean Six Sigma Green Belt Enterprise Certification
113,Employee #113,Sales,Sales Representative,2322.0,No,0.5218,HIGH,94.4,HIGH,"Communication, Customer Service, Cold Calling","Salesforce, CRM",2,Salesforce CRM Administrator & Cloud Management; Professional Skill Development: CRM
116,Employee #116,Research & Development,Laboratory Technician,2075.0,No,0.0097,LOW,91.25,HIGH,"Excel, Lab Safety","Sample Preparation, Quality Control, Data Entry",3,Professional Skill Development: Sample Preparation; Six Sigma Quality Assurance & Process Improvement
117,Employee #117,Research & Development,Healthcare Representative,4152.0,No,0.0097,LOW,75.84,HIGH,"EMR Software, Customer Service","Patient Care, Medical Records, Communication",3,Professional Skill Development: Patient Care; Professional Skill Development: Medical Records
118,Employee #118,Sales,Sales Executive,9619.0,No,0.0247,LOW,56.02,MEDIUM,"Lead Generation, Negotiation, Salesforce","CRM Software, Communication, Excel",3,Professional Skill Development: CRM Software; Professional Skill Development: Communication
119,Employee #119,Research & Development,Healthcare Representative,13503.0,No,0.0568,LOW,55.86,MEDIUM,"Communication, Customer Service, Medical Records","Patient Care, EMR Software",2,Professional Skill Development: Patient Care; Healthcare Electronic Medical Records Administration
120,Employee #120,Sales,Sales Executive,5441.0,Yes,0.3112,MEDIUM,69.25,MEDIUM,"Negotiation, Communication, CRM Software, Lead Generation","Salesforce, Excel",2,Salesforce CRM Administrator & Cloud Management; Professional Skill Development: Excel
121,Employee #121,Sales,Sales Executive,5209.0,Yes,0.0585,LOW,58.97,MEDIUM,"CRM Software, Communication, Lead Generation","Salesforce, Negotiation, Excel",3,Salesforce CRM Administrator & Cloud Management; Professional Skill Development: Negotiation
124,Employee #124,Research & Development,Healthcare Representative,10673.0,Yes,0.204,LOW,68.77,MEDIUM,"EMR Software, Medical Records, Customer Service","Patient Care, Communication",2,Professional Skill Development: Patient Care; Professional Skill Development: Communication
125,Employee #125,Sales,Sales Executive,5010.0,No,0.1228,LOW,70.13,MEDIUM,"Excel, CRM Software, Salesforce","Negotiation, Communication, Lead Generation",3,Professional Skill Development: Negotiation; Professional Skill Development: Communication
126,Employee #126,Research & Development,Research Director,13549.0,No,0.0334,LOW,77.67,HIGH,"Grant Writing, Python, Data Analysis","R&D Strategy, Leadership",2,Professional Skill Development: R&D Strategy; Professional Skill Development: Leadership
128,Employee #128,Sales,Sales Executive,4999.0,No,0.083,LOW,91.84,HIGH,"Excel, Communication, Salesforce, Lead Generation","CRM Software, Negotiation",2,Professional Skill Development: CRM Software; Professional Skill Development: Negotiation
129,Employee #129,Sales,Sales Executive,4221.0,No,0.0202,LOW,93.44,HIGH,"CRM Software, Excel, Salesforce","Negotiation, Communication, Lead Generation",3,Professional Skill Development: Negotiation; Professional Skill Development: Communication
131,Employee #131,Sales,Sales Executive,13872.0,No,0.0012,LOW,66.82,MEDIUM,"Communication, Excel, CRM Software","Salesforce, Negotiation, Lead Generation",3,Salesforce CRM Administrator & Cloud Management; Professional Skill Development: Negotiation
132,Employee #132,Research & Development,Laboratory Technician,2042.0,No,0.042,LOW,87.68,HIGH,"Lab Safety, Quality Control, Data Entry","Sample Preparation, Excel",2,Professional Skill Development: Sample Preparation; Professional Skill Development: Excel
133,Employee #133,Human Resources,Human Resources,2073.0,Yes,0.5376,HIGH,62.16,MEDIUM,"Employee Relations, Compliance, Workday, Recruiting","HRIS, Payroll",2,Modern HRIS Technology & HR Analytics Management; Professional Skill Development: Payroll
134,Employee #134,Research & Development,Research Scientist,2956.0,No,0.0678,LOW,65.3,MEDIUM,"Data Analysis, Statistics, Lab Equipment, Python","R, Machine Learning",2,Statistical Computing & Data Visualization in R; Applied Machine Learning & MLOps Specialization
137,Employee #137,Research & Development,Laboratory Technician,2926.0,Yes,0.718,HIGH,75.98,HIGH,"Quality Control, Excel","Lab Safety, Sample Preparation, Data Entry",3,ISO Certified Laboratory Safety & Bio-hazard Compliance; Professional Skill Development: Sample Preparation
138,Employee #138,Research & Development,Research Scientist,4809.0,No,0.0047,LOW,73.41,MEDIUM,"Machine Learning, Lab Equipment, Data Analysis, R","Python, Statistics",2,Advanced Python Programming & Data Science Masterclass; Professional Skill Development: Statistics
139,Employee #139,Research & Development,Healthcare Representative,5163.0,No,0.002,LOW,94.82,HIGH,"Medical Records, Customer Service, Patient Care","EMR Software, Communication",2,Healthcare Electronic Medical Records Administration; Professional Skill Development: Communication
140,Employee #140,Human Resources,Manager,18844.0,No,0.0021,LOW,83.36,HIGH,"Budgeting, Project Management, Performance Management","Leadership, Strategic Planning",2,Professional Skill Development: Leadership; Executive Leadership & Strategic Workforce Planning
141,Employee #141,Research & Development,Research Director,18172.0,Yes,0.0848,LOW,73.72,MEDIUM,"Data Analysis, Grant Writing, R&D Strategy, Leadership",Python,1,Advanced Python Programming & Data Science Masterclass
142,Employee #142,Sales,Sales Executive,5744.0,Yes,0.613,HIGH,59.78,MEDIUM,"Salesforce, Excel, Lead Generation","CRM Software, Negotiation, Communication",3,Professional Skill Development: CRM Software; Professional Skill Development: Negotiation
143,Employee #143,Research & Development,Research Scientist,2889.0,No,0.0103,LOW,77.66,HIGH,"Lab Equipment, Machine Learning, Statistics, Data Analysis","Python, R",2,Advanced Python Programming & Data Science Masterclass; Statistical Computing & Data Visualization in R
144,Employee #144,Research & Development,Laboratory Technician,2871.0,No,0.3317,MEDIUM,66.86,MEDIUM,"Excel, Data Entry, Lab Safety","Sample Preparation, Quality Control",2,Professional Skill Development: Sample Preparation; Six Sigma Quality Assurance & Process Improvement
145,Employee #145,Research & Development,Healthcare Representative,7484.0,No,0.2146,LOW,94.86,HIGH,"Medical Records, Communication, Customer Service","Patient Care, EMR Software",2,Professional Skill Development: Patient Care; Healthcare Electronic Medical Records Administration
147,Employee #147,Research & Development,Laboratory Technician,6074.0,Yes,0.7696,HIGH,68.75,MEDIUM,"Sample Preparation, Data Entry, Excel","Lab Safety, Quality Control",2,ISO Certified Laboratory Safety & Bio-hazard Compliance; Six Sigma Quality Assurance & Process Improvement
148,Employee #148,Human Resources,Manager,17328.0,Yes,0.0461,LOW,58.88,MEDIUM,"Performance Management, Budgeting, Strategic Planning","Leadership, Project Management",2,Professional Skill Development: Leadership; Professional Skill Development: Project Management
150,Employee #150,Research & Development,Laboratory Technician,2774.0,No,0.1261,LOW,72.81,MEDIUM,"Lab Safety, Data Entry, Excel","Sample Preparation, Quality Control",2,Professional Skill Development: Sample Preparation; Six Sigma Quality Assurance & Process Improvement
151,Employee #151,Research & Development,Research Scientist,4505.0,No,0.0511,LOW,73.65,MEDIUM,"Statistics, Lab Equipment, Machine Learning, Python","Data Analysis, R",2,Professional Skill Development: Data Analysis; Statistical Computing & Data Visualization in R
152,Employee #152,Sales,Sales Executive,7428.0,No,0.0572,LOW,87.93,HIGH,"Negotiation, Communication, Excel","CRM Software, Salesforce, Lead Generation",3,Professional Skill Development: CRM Software; Salesforce CRM Administrator & Cloud Management
153,Employee #153,Research & Development,Manager,11631.0,No,0.0205,LOW,64.87,MEDIUM,"Strategic Planning, Project Management, Budgeting","Leadership, Performance Management",2,Professional Skill Development: Leadership; Professional Skill Development: Performance Management
154,Employee #154,Sales,Sales Executive,9738.0,No,0.0184,LOW,94.91,HIGH,"Communication, Negotiation, Excel, Salesforce, CRM Software",Lead Generation,1,B2B Digital Marketing & Modern Sales Pipelines
155,Employee #155,Research & Development,Laboratory Technician,2835.0,No,0.1799,LOW,91.97,HIGH,"Lab Safety, Quality Control, Sample Preparation, Data Entry",Excel,1,Professional Skill Development: Excel
